

<<START>>,<<FMS_GTA_SG_INV_MST>>,,, 	(01-SEP-2025 10:12:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,1185 ,,, 	(01-SEP-2025 10:12:25)
 
<<END>>,<<FMS_GTA_SG_INV_MST>>,,, 	(01-SEP-2025 10:12:25)
 

<<START>>,<<FMS_GTA_PG_INV_MST>>,,, 	(01-SEP-2025 10:12:25)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,1185 ,,, 	(01-SEP-2025 10:12:28)
 
<<END>>,<<FMS_GTA_PG_INV_MST>>,,, 	(01-SEP-2025 10:12:28)
 
